1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ11ï\Å@éYã∆(ëÂï™óﬁÅjÅCíjèóï 15çŒà»è„èAã∆é“êî Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,ëçêîÅiíjèóï Åj,,,,,,,,,,,,,,,,,,,,,,íj,,,,,,,,,,,,,,,,,,,,,,èó,,,,,,,,,,,,,,,,,,,,,
4,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆,ëçêîÅiéYã∆ëÂï™óﬁÅj,Ç`Å@î_ã∆ÅCó—ã∆,Ç§Çøî_ã∆,ÇaÅ@ãôã∆,ÇbÅ@çzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆,ÇcÅ@åöê›ã∆,ÇdÅ@êªë¢ã∆,ÇeÅ@ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆,ÇfÅ@èÓïÒí êMã∆,ÇgÅ@â^óAã∆ÅCóXï÷ã∆,ÇhÅ@âµîÑã∆ÅCè¨îÑã∆,ÇiÅ@ã‡óZã∆ÅCï€åØã∆,ÇjÅ@ïsìÆéYã∆ÅCï®ïií¿ë›ã∆,ÇkÅ@äwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆,ÇlÅ@èhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆,ÇmÅ@ê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆,ÇnÅ@ã≥àÁÅCäwèKéxâáã∆,ÇoÅ@à„ó√ÅCïüéÉ,ÇpÅ@ï°çáÉTÅ[ÉrÉXéñã∆,ÇqÅ@ÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅj,ÇrÅ@åˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠Åj,ÇsÅ@ï™óﬁïsî\ÇÃéYã∆
1372,"25204","0470","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñ{í¨","",30,-,-,-,-,1,5,1,-,-,6,-,-,1,2,2,-,6,1,4,1,-,16,-,-,-,-,1,3,1,-,-,4,-,-,-,1,1,-,-,-,4,1,-,14,-,-,-,-,-,2,-,-,-,2,-,-,1,1,1,-,6,1,-,-,-
1373,"25204","0480","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñ{í¨","",27,-,-,-,-,6,6,-,-,2,4,-,-,1,1,-,-,3,-,2,-,2,17,-,-,-,-,5,4,-,-,1,2,-,-,-,-,-,-,2,-,2,-,1,10,-,-,-,-,1,2,-,-,1,2,-,-,1,1,-,-,1,-,-,-,1
1374,"25204","0490","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñ{í¨","",40,1,1,-,-,-,12,-,-,2,11,1,1,1,2,2,1,3,1,2,-,-,21,1,1,-,-,-,8,-,-,2,6,-,-,1,1,-,-,-,-,2,-,-,19,-,-,-,-,-,4,-,-,-,5,1,1,-,1,2,1,3,1,-,-,-
1375,"25204","0500","2","","","","é†âÍåß","ãﬂç]î™î¶és","írìcí¨","",28,-,-,-,-,3,6,-,1,2,4,1,-,-,-,1,2,4,-,3,-,1,15,-,-,-,-,2,4,-,1,1,1,1,-,-,-,1,1,-,-,3,-,-,13,-,-,-,-,1,2,-,-,1,3,-,-,-,-,-,1,4,-,-,-,1
1376,"25204","0510","2","","","","é†âÍåß","ãﬂç]î™î¶és","írìcí¨","",41,-,-,-,-,4,17,-,-,-,7,2,-,-,1,1,1,3,1,1,2,1,22,-,-,-,-,3,14,-,-,-,3,1,-,-,-,-,-,-,-,-,1,-,19,-,-,-,-,1,3,-,-,-,4,1,-,-,1,1,1,3,1,1,1,1
1377,"25204","0520","2","","","","é†âÍåß","ãﬂç]î™î¶és","írìcí¨","",33,-,-,-,-,1,6,-,1,1,8,-,-,-,2,1,2,7,-,2,2,-,18,-,-,-,-,1,5,-,1,1,5,-,-,-,-,1,1,2,-,1,-,-,15,-,-,-,-,-,1,-,-,-,3,-,-,-,2,-,1,5,-,1,2,-
1378,"25204","0530","2","","","","é†âÍåß","ãﬂç]î™î¶és","írìcí¨","",42,-,-,-,-,-,10,-,-,2,12,1,-,-,3,5,2,4,-,-,1,2,24,-,-,-,-,-,5,-,-,2,7,1,-,-,1,3,1,1,-,-,1,2,18,-,-,-,-,-,5,-,-,-,5,-,-,-,2,2,1,3,-,-,-,-
1379,"25204","0540","2","","","","é†âÍåß","ãﬂç]î™î¶és","írìcí¨","",57,1,1,-,-,5,16,-,-,1,5,1,1,5,3,2,8,4,-,3,2,-,36,1,1,-,-,4,12,-,-,1,1,-,-,4,1,2,4,2,-,3,1,-,21,-,-,-,-,1,4,-,-,-,4,1,1,1,2,-,4,2,-,-,1,-
1380,"25204","0550","2","","","","é†âÍåß","ãﬂç]î™î¶és","î¬âÆí¨","",14,-,-,-,-,3,4,-,-,-,2,-,-,1,-,-,1,2,-,-,1,-,9,-,-,-,-,2,4,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,5,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-
1381,"25204","0560","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñkññí¨","",26,-,-,-,-,1,7,-,-,2,3,1,1,1,-,-,1,5,2,1,1,-,14,-,-,-,-,1,4,-,-,2,1,-,-,1,-,-,1,1,1,1,1,-,12,-,-,-,-,-,3,-,-,-,2,1,1,-,-,-,-,4,1,-,-,-
1382,"25204","0570","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñkå≥í¨","",65,1,1,-,-,2,16,-,-,3,10,1,1,1,9,-,4,7,-,5,4,1,39,1,1,-,-,2,12,-,-,3,5,-,1,-,5,-,2,1,-,4,3,-,26,-,-,-,-,-,4,-,-,-,5,1,-,1,4,-,2,6,-,1,1,1
1383,"25204","0580","2","","","","é†âÍåß","ãﬂç]î™î¶és","êºå≥í¨","",72,2,2,-,-,8,14,2,1,-,16,1,-,-,2,5,7,5,-,3,2,4,35,1,1,-,-,6,11,2,1,-,5,-,-,-,1,2,3,-,-,2,-,1,37,1,1,-,-,2,3,-,-,-,11,1,-,-,1,3,4,5,-,1,2,3
1384,"25204","0590","2","","","","é†âÍåß","ãﬂç]î™î¶és","êºññí¨","",18,-,-,-,-,2,5,-,1,-,2,-,1,1,2,-,1,2,-,1,-,-,7,-,-,-,-,2,2,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,11,-,-,-,-,-,3,-,1,-,2,-,-,1,1,-,1,2,-,-,-,-
1385,"25204","0600","2","","","","é†âÍåß","ãﬂç]î™î¶és","å≥ã âÆí¨","",33,-,-,-,-,1,9,1,-,-,8,-,-,-,1,2,4,3,1,1,2,-,18,-,-,-,-,1,6,1,-,-,4,-,-,-,1,1,-,1,1,-,2,-,15,-,-,-,-,-,3,-,-,-,4,-,-,-,-,1,4,2,-,1,-,-
1386,"25204","0610","2","","","","é†âÍåß","ãﬂç]î™î¶és","ç≤ãvä‘í¨","",28,-,-,-,-,1,3,-,-,3,4,-,1,2,1,1,1,4,-,3,1,3,13,-,-,-,-,-,2,-,-,1,2,-,-,2,1,-,-,2,-,1,-,2,15,-,-,-,-,1,1,-,-,2,2,-,1,-,-,1,1,2,-,2,1,1
1387,"25204","0620","2","","","","é†âÍåß","ãﬂç]î™î¶és","ì˙êôí¨","",8,-,-,-,-,-,2,-,-,1,-,1,-,-,-,-,1,1,-,1,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,5,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-
1388,"25204","0630","2","","","","é†âÍåß","ãﬂç]î™î¶és","ë∑ïΩé°í¨","",12,-,-,-,-,1,2,-,-,-,-,-,-,-,2,1,2,-,-,2,-,2,8,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,1,-,-,2,-,1,4,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1
1389,"25204","0640","2","","","","é†âÍåß","ãﬂç]î™î¶és","ë∑ïΩé°í¨","",30,-,-,-,-,3,8,-,-,-,8,1,-,1,2,-,1,3,-,1,2,-,19,-,-,-,-,2,8,-,-,-,4,1,-,1,-,-,1,-,-,-,2,-,11,-,-,-,-,1,-,-,-,-,4,-,-,-,2,-,-,3,-,1,-,-
1390,"25204","0650","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìyìcí¨","",820,9,9,-,-,47,229,4,5,42,106,17,9,23,39,20,44,119,16,33,33,25,478,4,4,-,-,40,184,3,5,35,46,9,7,14,11,6,20,34,7,20,20,13,342,5,5,-,-,7,45,1,-,7,60,8,2,9,28,14,24,85,9,13,13,12
1391,"25204","0660","2","","","","é†âÍåß","ãﬂç]î™î¶és","íÜë∫í¨","",1822,21,20,-,-,73,548,10,29,66,276,45,28,44,81,50,112,236,17,71,64,51,1044,13,12,-,-,61,422,8,16,45,125,26,17,26,40,18,40,59,11,48,39,30,778,8,8,-,-,12,126,2,13,21,151,19,11,18,41,32,72,177,6,23,25,21
1392,"25204","0670","2","","","","é†âÍåß","ãﬂç]î™î¶és","âFí√òCí¨","",30,1,-,-,-,1,12,-,-,1,10,-,-,3,1,-,-,-,-,-,1,-,16,1,-,-,-,1,6,-,-,1,4,-,-,2,-,-,-,-,-,-,1,-,14,-,-,-,-,-,6,-,-,-,6,-,-,1,1,-,-,-,-,-,-,-
1393,"25204","0680","2","","","","é†âÍåß","ãﬂç]î™î¶és","ç˜ã{í¨","",374,3,3,-,-,11,111,1,4,17,58,11,8,12,31,8,19,34,1,14,13,18,211,3,3,-,-,9,81,1,4,13,30,4,2,7,10,1,4,13,-,12,7,10,163,-,-,-,-,2,30,-,-,4,28,7,6,5,21,7,15,21,1,2,6,8
1394,"25204","0690","2","","","","é†âÍåß","ãﬂç]î™î¶és","âπâHí¨","",277,-,-,-,-,22,77,-,4,15,43,6,5,2,19,12,9,13,1,15,7,27,154,-,-,-,-,16,56,-,4,12,14,4,2,2,6,7,3,1,-,11,3,13,123,-,-,-,-,6,21,-,-,3,29,2,3,-,13,5,6,12,1,4,4,14
1395,"25204","0700","2","","","","é†âÍåß","ãﬂç]î™î¶és","èoí¨","",1101,10,10,-,-,48,338,8,12,36,167,13,17,24,74,35,58,126,3,40,36,56,640,7,7,-,-,43,266,8,8,32,77,9,8,13,33,16,22,26,2,23,17,30,461,3,3,-,-,5,72,-,4,4,90,4,9,11,41,19,36,100,1,17,19,26
1396,"25204","0710","2","","","","é†âÍåß","ãﬂç]î™î¶és","î™î¶í¨","",206,1,1,-,-,24,61,-,2,13,27,1,1,3,12,5,6,13,1,15,4,17,115,1,1,-,-,21,37,-,1,9,10,-,-,2,2,2,3,3,-,8,3,13,91,-,-,-,-,3,24,-,1,4,17,1,1,1,10,3,3,10,1,7,1,4
1397,"25204","0720","2","","","","é†âÍåß","ãﬂç]î™î¶és","ésà‰í¨","",311,3,3,-,-,31,73,2,1,23,33,2,4,3,23,7,11,30,2,25,9,29,178,2,2,-,-,26,53,2,1,18,9,1,2,2,6,4,4,8,1,16,7,16,133,1,1,-,-,5,20,-,-,5,24,1,2,1,17,3,7,22,1,9,2,13
1398,"25204","0730","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëΩâÍí¨","",396,8,8,-,-,37,108,3,1,20,37,19,4,9,18,10,21,46,5,18,14,18,234,8,8,-,-,28,87,3,1,15,19,7,3,5,2,5,6,11,4,11,11,8,162,-,-,-,-,9,21,-,-,5,18,12,1,4,16,5,15,35,1,7,3,10
1399,"25204","0740","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëDí¨","",9,-,-,-,-,-,1,-,-,2,-,-,-,2,-,-,-,1,-,1,2,-,5,-,-,-,-,-,1,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-
1400,"25204","0750","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñkîVèØí¨","",640,21,21,-,-,56,160,-,5,38,101,13,7,19,50,14,23,64,11,23,14,21,370,15,15,-,-,49,116,-,1,31,47,6,6,9,18,6,10,16,3,15,8,14,270,6,6,-,-,7,44,-,4,7,54,7,1,10,32,8,13,48,8,8,6,7
1401,"25204","0760","2","","","","é†âÍåß","ãﬂç]î™î¶és","â~éRí¨","",137,7,7,-,-,12,33,3,1,8,10,4,-,2,9,9,4,14,2,4,4,11,78,5,5,-,-,10,22,2,1,7,3,3,-,2,5,-,1,7,1,2,2,5,59,2,2,-,-,2,11,1,-,1,7,1,-,-,4,9,3,7,1,2,2,6
1402,"25204","0770","2","","","","é†âÍåß","ãﬂç]î™î¶és","îíâ§í¨","",146,17,17,1,-,7,36,-,-,11,21,4,3,-,3,3,6,17,2,8,4,3,85,12,12,1,-,4,23,-,-,9,9,2,3,-,2,1,2,4,1,7,3,2,61,5,5,-,-,3,13,-,-,2,12,2,-,-,1,2,4,13,1,1,1,1
1403,"25204","0780","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìáí¨","",105,7,7,-,-,14,22,-,1,14,7,2,2,2,4,-,5,11,4,9,-,1,53,5,5,-,-,9,13,-,-,9,3,1,-,2,-,-,1,2,1,7,-,-,52,2,2,-,-,5,9,-,1,5,4,1,2,-,4,-,4,9,3,2,-,1
1404,"25204","0790","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñkí√ìcí¨","",230,8,8,2,-,18,52,2,1,16,26,3,5,9,12,7,11,26,6,12,9,5,122,6,6,1,-,15,38,1,-,10,12,3,3,3,3,3,5,2,1,9,5,2,108,2,2,1,-,3,14,1,1,6,14,-,2,6,9,4,6,24,5,3,4,3
1405,"25204","0800","2","","","","é†âÍåß","ãﬂç]î™î¶és","íÜîVèØí¨","",85,2,2,-,-,6,10,1,2,5,13,2,1,2,9,3,7,8,2,6,2,4,42,1,1,-,-,5,9,1,2,4,4,1,1,1,-,-,2,2,2,4,1,2,43,1,1,-,-,1,1,-,-,1,9,1,-,1,9,3,5,6,-,2,1,2
1406,"25204","0810","2","","","","é†âÍåß","ãﬂç]î™î¶és","í∑ñΩéõí¨","",69,-,-,6,-,2,14,-,-,6,9,1,2,-,4,1,2,7,-,11,2,2,41,-,-,4,-,2,8,-,-,4,5,-,1,-,2,-,1,3,-,8,1,2,28,-,-,2,-,-,6,-,-,2,4,1,1,-,2,1,1,4,-,3,1,-
1407,"25204","0820","2","","","","é†âÍåß","ãﬂç]î™î¶és","â´ìáí¨","",184,1,1,99,-,10,10,-,-,5,9,1,1,-,17,-,-,5,7,7,1,11,103,1,1,56,-,9,3,-,-,5,3,-,1,-,9,-,-,-,4,5,-,7,81,-,-,43,-,1,7,-,-,-,6,1,-,-,8,-,-,5,3,2,1,4
1408,"25204","0830","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÂíÜí¨","",188,130,130,3,-,9,12,-,-,4,10,1,1,1,4,2,1,4,1,-,1,4,105,77,77,2,-,9,7,-,-,1,2,-,1,1,1,1,-,-,1,-,-,2,83,53,53,1,-,-,5,-,-,3,8,1,-,-,3,1,1,4,-,-,1,2
1409,"25204","0840","2","","","","é†âÍåß","ãﬂç]î™î¶és","í√ìcí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1410,"25204","0850","2","","","","é†âÍåß","ãﬂç]î™î¶és","êVâhí¨","",78,1,1,-,-,4,17,-,1,4,14,3,1,2,3,3,5,11,-,6,-,3,44,1,1,-,-,3,14,-,-,3,8,2,-,1,-,1,3,2,-,4,-,2,34,-,-,-,-,1,3,-,1,1,6,1,1,1,3,2,2,9,-,2,-,1
1411,"25204","0860","2","","","","é†âÍåß","ãﬂç]î™î¶és","è¨ëDñÿí¨","",714,14,14,-,-,24,272,6,7,21,90,22,3,17,25,12,34,96,3,28,31,9,453,10,10,-,-,19,228,5,6,19,46,11,2,10,8,5,17,20,2,16,25,4,261,4,4,-,-,5,44,1,1,2,44,11,1,7,17,7,17,76,1,12,6,5
1412,"25204","0870","2","","","","é†âÍåß","ãﬂç]î™î¶és","â¡ñŒí¨","",653,32,32,1,-,32,189,-,4,34,99,10,6,14,26,12,38,79,9,34,24,10,384,20,20,-,-,28,142,-,3,25,47,5,5,11,7,4,17,17,4,24,20,5,269,12,12,1,-,4,47,-,1,9,52,5,1,3,19,8,21,62,5,10,4,5
1413,"25204","0880","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìcíÜç]í¨","",195,17,17,-,-,8,48,1,1,6,29,2,1,6,9,5,8,19,1,7,5,22,116,10,10,-,-,8,38,1,1,5,14,1,-,4,3,2,3,3,-,6,3,14,79,7,7,-,-,-,10,-,-,1,15,1,1,2,6,3,5,16,1,1,2,8
1414,"25204","0890","2","","","","é†âÍåß","ãﬂç]î™î¶és","ñqí¨","",329,30,29,1,-,24,75,-,1,16,45,5,4,4,15,12,10,34,7,13,12,21,174,19,18,1,-,20,54,-,1,11,18,2,4,1,4,4,3,5,4,7,10,6,155,11,11,-,-,4,21,-,-,5,27,3,-,3,11,8,7,29,3,6,2,15
1415,"25204","0900","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÂñ[í¨","",125,22,22,-,-,13,23,-,2,2,11,4,2,3,7,4,6,15,3,8,-,-,72,15,15,-,-,11,13,-,2,2,7,2,2,1,3,2,1,4,2,5,-,-,53,7,7,-,-,2,10,-,-,-,4,2,-,2,4,2,5,11,1,3,-,-
1416,"25204","0910","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëDñÿí¨","",451,10,10,-,-,47,121,-,6,23,68,14,1,8,27,13,24,42,4,23,14,6,254,8,8,-,-,40,95,-,4,18,31,2,-,6,5,5,7,7,1,12,9,4,197,2,2,-,-,7,26,-,2,5,37,12,1,2,22,8,17,35,3,11,5,2
1417,"25204","0920","2","","","","é†âÍåß","ãﬂç]î™î¶és","ìÏí√ìcí¨","",209,26,26,-,-,9,53,1,1,12,24,5,2,3,9,3,8,28,8,5,10,2,115,15,15,-,-,8,39,1,1,9,9,2,1,-,1,2,4,6,7,2,8,-,94,11,11,-,-,1,14,-,-,3,15,3,1,3,8,1,4,22,1,3,2,2
1418,"25204","0930","2","","","","é†âÍåß","ãﬂç]î™î¶és","å≥êÖåsí¨","",28,6,6,-,-,5,3,-,-,2,2,-,-,2,1,1,-,2,-,3,-,1,18,4,4,-,-,3,2,-,-,2,1,-,-,1,-,1,-,-,-,3,-,1,10,2,2,-,-,2,1,-,-,-,1,-,-,1,1,-,-,2,-,-,-,-
1419,"25204","0940","2","","","","é†âÍåß","ãﬂç]î™î¶és","è„ìcí¨","",963,26,26,-,-,49,292,7,8,47,146,26,9,31,47,31,35,77,30,35,26,41,556,18,18,-,-,39,208,6,6,34,59,11,9,21,14,14,17,15,22,23,17,23,407,8,8,-,-,10,84,1,2,13,87,15,-,10,33,17,18,62,8,12,9,18
1420,"25204","0950","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",134,-,-,-,-,5,36,-,1,11,18,1,1,3,6,11,4,18,1,7,2,9,68,-,-,-,-,3,26,-,1,7,8,1,-,-,1,5,2,3,-,4,2,5,66,-,-,-,-,2,10,-,-,4,10,-,1,3,5,6,2,15,1,3,-,4
1421,"25204","0960","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",161,-,-,-,-,5,46,-,1,9,25,3,3,4,10,3,5,22,1,12,7,5,84,-,-,-,-,4,29,-,1,6,12,2,2,3,5,1,3,5,-,5,3,3,77,-,-,-,-,1,17,-,-,3,13,1,1,1,5,2,2,17,1,7,4,2
1422,"25204","0970","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",120,2,2,-,-,3,27,-,1,7,18,2,1,4,9,2,5,15,1,7,3,13,65,2,2,-,-,2,18,-,1,5,6,1,1,4,3,1,3,3,-,3,-,12,55,-,-,-,-,1,9,-,-,2,12,1,-,-,6,1,2,12,1,4,3,1
1423,"25204","0980","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",125,2,2,-,-,1,45,2,-,-,20,2,3,6,5,6,6,14,1,7,2,3,69,1,1,-,-,-,32,2,-,-,10,1,2,3,1,2,1,5,-,6,1,2,56,1,1,-,-,1,13,-,-,-,10,1,1,3,4,4,5,9,1,1,1,1
1424,"25204","0990","2","","","","é†âÍåß","ãﬂç]î™î¶és","é·ótí¨","",84,2,2,-,-,1,23,-,1,5,14,-,2,1,5,3,9,12,-,3,3,-,42,2,2,-,-,1,16,-,1,4,2,-,1,1,1,2,4,2,-,2,3,-,42,-,-,-,-,-,7,-,-,1,12,-,1,-,4,1,5,10,-,1,-,-
1425,"25204","1001","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìå","",225,-,-,-,-,6,76,1,3,5,26,8,5,9,7,5,19,28,2,10,7,8,123,-,-,-,-,6,54,1,1,4,10,4,3,8,1,2,7,3,2,6,6,5,102,-,-,-,-,-,22,-,2,1,16,4,2,1,6,3,12,25,-,4,1,3
1426,"25204","100101","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìå","ÇPíöñ⁄",23,-,-,-,-,2,10,-,-,-,1,1,-,1,1,-,2,2,-,1,-,2,15,-,-,-,-,2,6,-,-,-,1,1,-,1,1,-,-,-,-,1,-,2,8,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-
1427,"25204","100102","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìå","ÇQíöñ⁄",202,-,-,-,-,4,66,1,3,5,25,7,5,8,6,5,17,26,2,9,7,6,108,-,-,-,-,4,48,1,1,4,9,3,3,7,-,2,7,3,2,5,6,3,94,-,-,-,-,-,18,-,2,1,16,4,2,1,6,3,10,23,-,4,1,3
1428,"25204","1002","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","",348,3,3,-,-,13,120,-,4,12,60,12,7,6,11,4,26,38,3,10,7,12,212,2,2,-,-,11,103,-,3,10,25,8,4,4,3,2,4,14,2,5,5,7,136,1,1,-,-,2,17,-,1,2,35,4,3,2,8,2,22,24,1,5,2,5
1429,"25204","100201","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","ÇPíöñ⁄",20,-,-,-,-,-,7,-,-,2,-,-,-,-,-,1,2,7,-,-,1,-,12,-,-,-,-,-,5,-,-,2,-,-,-,-,-,-,-,4,-,-,1,-,8,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,2,3,-,-,-,-
1430,"25204","100203","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","ÇRíöñ⁄",85,-,-,-,-,4,30,-,1,3,13,3,1,-,2,-,7,13,-,2,-,6,49,-,-,-,-,3,25,-,1,3,5,-,1,-,-,-,1,5,-,2,-,3,36,-,-,-,-,1,5,-,-,-,8,3,-,-,2,-,6,8,-,-,-,3
1431,"25204","100204","3","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ìÏ","ÇSíöñ⁄",243,3,3,-,-,9,83,-,3,7,47,9,6,6,9,3,17,18,3,8,6,6,151,2,2,-,-,8,73,-,2,5,20,8,3,4,3,2,3,5,2,3,4,4,92,1,1,-,-,1,10,-,1,2,27,1,3,2,6,1,14,13,1,5,2,2
1432,"25204","1003","2","","","","é†âÍåß","ãﬂç]î™î¶és","ëÈéîí¨ñk","",1157,6,6,-,-,45,383,6,9,34,159,27,16,26,59,40,52,163,10,36,36,50,679,4,4,-,-,36,309,4,7,25,72,17,9,14,25,18,19,40,5,26,20,29,478,2,2,-,-,9,74,2,2,9,87,10,7,12,34,22,33,123,5,10,16,21
