1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ7ï\Å@èZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—1ê¢ë—ìñÇΩÇËêlàı Å|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,1ê¢ë—ìñÇΩÇËêlàı,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv,ëçêîÅièZãèÇÃéÌóﬁÅEèZëÓÇÃèäóLÇÃä÷åWÅj  ,èZëÓÇ…èZÇﬁàÍî ê¢ë—,éÂê¢ë—,éùÇøâ∆,åˆâcÅEìsésçƒê∂ã@ç\ÅEåˆé–ÇÃéÿâ∆,ñØâcÇÃéÿâ∆,ããó^èZëÓ,ä‘éÿÇË,èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—,èZãèÇÃéÌóﬁÅuïsè⁄Åv
444,"25201","290101","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇPíöñ⁄",174,174,174,171,-,3,-,-,-,-,625,625,625,613,-,12,-,-,-,-,3.5919540230,3.5919540230,3.5919540230,3.5847953216,-,4.0000000000,-,-,-,-
445,"25201","290102","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇQíöñ⁄",186,186,185,185,-,-,-,1,-,-,650,650,648,648,-,-,-,2,-,-,3.4946236559,3.4946236559,3.5027027027,3.5027027027,-,-,-,2.0000000000,-,-
446,"25201","290103","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇRíöñ⁄",187,187,186,181,-,5,-,1,-,-,698,698,697,681,-,16,-,1,-,-,3.7326203209,3.7326203209,3.7473118280,3.7624309392,-,3.2000000000,-,1.0000000000,-,-
447,"25201","290104","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇSíöñ⁄",53,53,53,51,-,1,1,-,-,-,192,192,192,187,-,2,3,-,-,-,3.6226415094,3.6226415094,3.6226415094,3.6666666667,-,2.0000000000,3.0000000000,-,-,-
448,"25201","290105","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇTíöñ⁄",227,227,227,226,-,1,-,-,-,-,817,817,817,813,-,4,-,-,-,-,3.5991189427,3.5991189427,3.5991189427,3.5973451327,-,4.0000000000,-,-,-,-
449,"25201","290106","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇUíöñ⁄",41,39,39,39,-,-,-,-,2,-,139,135,135,135,-,-,-,-,4,-,3.3902439024,3.4615384615,3.4615384615,3.4615384615,-,-,-,-,2.0000000000,-
450,"25201","290107","3","","","","é†âÍåß","ëÂí√és","èºÉñãu","ÇVíöñ⁄",72,71,71,70,-,1,-,-,1,-,227,225,225,223,-,2,-,-,2,-,3.1527777778,3.1690140845,3.1690140845,3.1857142857,-,2.0000000000,-,-,2.0000000000,-
451,"25201","2910","2","","","","é†âÍåß","ëÂí√és","è„ìcè„ëÂíπãèí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
452,"25201","2921","2","","","","é†âÍåß","ëÂí√és","ãÀê∂","",298,295,293,284,-,9,-,2,3,-,878,868,859,850,-,9,-,9,10,-,2.9463087248,2.9423728814,2.9317406143,2.9929577465,-,1.0000000000,-,4.5000000000,3.3333333333,-
453,"25201","292101","3","","","","é†âÍåß","ëÂí√és","ãÀê∂","ÇPíöñ⁄",162,160,158,158,-,-,-,2,2,-,494,486,477,477,-,-,-,9,8,-,3.0493827160,3.0375000000,3.0189873418,3.0189873418,-,-,-,4.5000000000,4.0000000000,-
454,"25201","292102","3","","","","é†âÍåß","ëÂí√és","ãÀê∂","ÇQíöñ⁄",106,105,105,105,-,-,-,-,1,-,301,299,299,299,-,-,-,-,2,-,2.8396226415,2.8476190476,2.8476190476,2.8476190476,-,-,-,-,2.0000000000,-
455,"25201","292103","3","","","","é†âÍåß","ëÂí√és","ãÀê∂","ÇRíöñ⁄",30,30,30,21,-,9,-,-,-,-,83,83,83,74,-,9,-,-,-,-,2.7666666667,2.7666666667,2.7666666667,3.5238095238,-,1.0000000000,-,-,-,-
456,"25201","2922","2","îÈìΩínàÊ","293103","","é†âÍåß","ëÂí√és","è„ìcè„ãÀê∂í¨","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
457,"25201","2931","2","","","","é†âÍåß","ëÂí√és","ñq","",125,125,125,125,-,-,-,-,-,-,402,402,402,402,-,-,-,-,-,-,3.2160000000,3.2160000000,3.2160000000,3.2160000000,-,-,-,-,-,-
458,"25201","293101","3","","","","é†âÍåß","ëÂí√és","ñq","ÇPíöñ⁄",110,110,110,110,-,-,-,-,-,-,358,358,358,358,-,-,-,-,-,-,3.2545454545,3.2545454545,3.2545454545,3.2545454545,-,-,-,-,-,-
459,"25201","293102","3","","","","é†âÍåß","ëÂí√és","ñq","ÇQíöñ⁄",11,11,11,11,-,-,-,-,-,-,32,32,32,32,-,-,-,-,-,-,2.9090909091,2.9090909091,2.9090909091,2.9090909091,-,-,-,-,-,-
460,"25201","293103","3","çáéZínàÊÇ†ÇË","","2922","é†âÍåß","ëÂí√és","ñq","ÇRíöñ⁄",4,4,4,4,-,-,-,-,-,-,12,12,12,12,-,-,-,-,-,-,3.0000000000,3.0000000000,3.0000000000,3.0000000000,-,-,-,-,-,-
461,"25201","2932","2","","","","é†âÍåß","ëÂí√és","è„ìcè„ñqí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
462,"25201","2941","2","","","","é†âÍåß","ëÂí√és","ïΩñÏ","",111,110,108,107,-,-,1,2,1,-,340,338,330,326,-,-,4,8,2,-,3.0630630631,3.0727272727,3.0555555556,3.0467289720,-,-,4.0000000000,4.0000000000,2.0000000000,-
463,"25201","294101","3","","","","é†âÍåß","ëÂí√és","ïΩñÏ","ÇPíöñ⁄",90,89,88,87,-,-,1,1,1,-,281,279,275,271,-,-,4,4,2,-,3.1222222222,3.1348314607,3.1250000000,3.1149425287,-,-,4.0000000000,4.0000000000,2.0000000000,-
464,"25201","294102","3","","","","é†âÍåß","ëÂí√és","ïΩñÏ","ÇQíöñ⁄",21,21,20,20,-,-,-,1,-,-,59,59,55,55,-,-,-,4,-,-,2.8095238095,2.8095238095,2.7500000000,2.7500000000,-,-,-,4.0000000000,-,-
465,"25201","294103","3","","","","é†âÍåß","ëÂí√és","ïΩñÏ","ÇRíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
466,"25201","2942","2","","","","é†âÍåß","ëÂí√és","è„ìcè„ïΩñÏí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
467,"25201","2951","2","","","","é†âÍåß","ëÂí√és","íÜñÏ","",129,128,128,126,-,2,-,-,1,-,383,379,379,375,-,4,-,-,4,-,2.9689922481,2.9609375000,2.9609375000,2.9761904762,-,2.0000000000,-,-,4.0000000000,-
468,"25201","295101","3","","","","é†âÍåß","ëÂí√és","íÜñÏ","ÇPíöñ⁄",103,102,102,101,-,1,-,-,1,-,314,310,310,307,-,3,-,-,4,-,3.0485436893,3.0392156863,3.0392156863,3.0396039604,-,3.0000000000,-,-,4.0000000000,-
469,"25201","295102","3","","","","é†âÍåß","ëÂí√és","íÜñÏ","ÇQíöñ⁄",9,9,9,9,-,-,-,-,-,-,23,23,23,23,-,-,-,-,-,-,2.5555555556,2.5555555556,2.5555555556,2.5555555556,-,-,-,-,-,-
470,"25201","295103","3","","","","é†âÍåß","ëÂí√és","íÜñÏ","ÇRíöñ⁄",17,17,17,16,-,1,-,-,-,-,46,46,46,45,-,1,-,-,-,-,2.7058823529,2.7058823529,2.7058823529,2.8125000000,-,1.0000000000,-,-,-,-
471,"25201","2952","2","","","","é†âÍåß","ëÂí√és","è„ìcè„íÜñÏí¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
472,"25201","2961","2","","","","é†âÍåß","ëÂí√és","é≈å¥","",78,78,78,43,-,35,-,-,-,-,175,175,175,135,-,40,-,-,-,-,2.2435897436,2.2435897436,2.2435897436,3.1395348837,-,1.1428571429,-,-,-,-
473,"25201","2962","2","","","","é†âÍåß","ëÂí√és","è„ìcè„é≈å¥í¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
474,"25201","2971","2","","","","é†âÍåß","ëÂí√és","ì∞","",74,74,73,72,-,-,1,1,-,-,232,232,231,228,-,-,3,1,-,-,3.1351351351,3.1351351351,3.1643835616,3.1666666667,-,-,3.0000000000,1.0000000000,-,-
475,"25201","297101","3","","","","é†âÍåß","ëÂí√és","ì∞","ÇPíöñ⁄",62,62,61,60,-,-,1,1,-,-,188,188,187,184,-,-,3,1,-,-,3.0322580645,3.0322580645,3.0655737705,3.0666666667,-,-,3.0000000000,1.0000000000,-,-
476,"25201","297102","3","","","","é†âÍåß","ëÂí√és","ì∞","ÇQíöñ⁄",12,12,12,12,-,-,-,-,-,-,44,44,44,44,-,-,-,-,-,-,3.6666666667,3.6666666667,3.6666666667,3.6666666667,-,-,-,-,-,-
477,"25201","2972","2","","","","é†âÍåß","ëÂí√és","è„ìcè„ì∞í¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
478,"25201","2981","2","","","","é†âÍåß","ëÂí√és","êVñ∆","",60,59,59,59,-,-,-,-,1,-,201,195,195,195,-,-,-,-,6,-,3.3500000000,3.3050847458,3.3050847458,3.3050847458,-,-,-,-,6.0000000000,-
479,"25201","298101","3","","","","é†âÍåß","ëÂí√és","êVñ∆","ÇPíöñ⁄",8,8,8,8,-,-,-,-,-,-,21,21,21,21,-,-,-,-,-,-,2.6250000000,2.6250000000,2.6250000000,2.6250000000,-,-,-,-,-,-
480,"25201","298102","3","","","","é†âÍåß","ëÂí√és","êVñ∆","ÇQíöñ⁄",52,51,51,51,-,-,-,-,1,-,180,174,174,174,-,-,-,-,6,-,3.4615384615,3.4117647059,3.4117647059,3.4117647059,-,-,-,-,6.0000000000,-
481,"25201","2982","2","","","","é†âÍåß","ëÂí√és","è„ìcè„êVñ∆í¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
482,"25201","2991","2","","","","é†âÍåß","ëÂí√és","ëÂíπãè","",62,62,62,62,-,-,-,-,-,-,173,173,173,173,-,-,-,-,-,-,2.7903225806,2.7903225806,2.7903225806,2.7903225806,-,-,-,-,-,-
483,"25201","2992","2","","","","é†âÍåß","ëÂí√és","è„ìcè„ëÂíπãè","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
484,"25201","3000","2","","","","é†âÍåß","ëÂí√és","ëÂç]","",5729,5691,5661,3703,16,1845,97,30,38,-,14228,14171,14109,10989,26,2897,197,62,57,-,2.4835049747,2.4900720436,2.4923158453,2.9675938428,1.6250000000,1.5701897019,2.0309278351,2.0666666667,1.5000000000,-
485,"25201","300001","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇPíöñ⁄",659,647,646,564,-,59,23,1,12,-,2115,2103,2098,1864,-,171,63,5,12,-,3.2094081942,3.2503863988,3.2476780186,3.3049645390,-,2.8983050847,2.7391304348,5.0000000000,1.0000000000,-
486,"25201","300002","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇQíöñ⁄",712,710,707,480,2,215,10,3,2,-,1725,1723,1719,1301,2,397,19,4,2,-,2.4227528090,2.4267605634,2.4314002829,2.7104166667,1.0000000000,1.8465116279,1.9000000000,1.3333333333,1.0000000000,-
487,"25201","300003","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇRíöñ⁄",794,788,781,560,14,198,9,7,6,-,1892,1882,1868,1530,24,297,17,14,10,-,2.3828715365,2.3883248731,2.3918053777,2.7321428571,1.7142857143,1.5000000000,1.8888888889,2.0000000000,1.6666666667,-
488,"25201","300004","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇSíöñ⁄",775,769,765,430,-,325,10,4,6,-,1760,1740,1735,1224,-,484,27,5,20,-,2.2709677419,2.2626788036,2.2679738562,2.8465116279,-,1.4892307692,2.7000000000,1.2500000000,3.3333333333,-
489,"25201","300005","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇTíöñ⁄",1007,1006,1000,658,-,330,12,6,1,-,2370,2369,2354,1876,-,458,20,15,1,-,2.3535253227,2.3548707753,2.3540000000,2.8510638298,-,1.3878787879,1.6666666667,2.5000000000,1.0000000000,-
490,"25201","300006","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇUíöñ⁄",818,817,813,565,-,240,8,4,1,-,2270,2269,2257,1842,-,395,20,12,1,-,2.7750611247,2.7772337821,2.7761377614,3.2601769912,-,1.6458333333,2.5000000000,3.0000000000,1.0000000000,-
491,"25201","300007","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇVíöñ⁄",627,626,622,321,-,287,14,4,1,-,1475,1473,1467,955,-,492,20,6,2,-,2.3524720893,2.3530351438,2.3585209003,2.9750778816,-,1.7142857143,1.4285714286,1.5000000000,2.0000000000,-
492,"25201","300008","3","","","","é†âÍåß","ëÂí√és","ëÂç]","ÇWíöñ⁄",337,328,327,125,-,191,11,1,9,-,621,612,611,397,-,203,11,1,9,-,1.8427299703,1.8658536585,1.8685015291,3.1760000000,-,1.0628272251,1.0000000000,1.0000000000,1.0000000000,-
493,"25201","3070","2","","","","é†âÍåß","ëÂí√és","ëÂäû","",5254,5187,5167,2487,-,2549,131,20,67,-,12006,11925,11885,7612,-,4036,237,40,81,-,2.2851161020,2.2990167727,2.3001741823,3.0607157218,-,1.5833660259,1.8091603053,2.0000000000,1.2089552239,-
494,"25201","307001","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇPíöñ⁄",1479,1469,1464,376,-,1049,39,5,10,-,2329,2315,2306,967,-,1277,62,9,14,-,1.5747126437,1.5759019741,1.5751366120,2.5718085106,-,1.2173498570,1.5897435897,1.8000000000,1.4000000000,-
495,"25201","307002","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇQíöñ⁄",849,844,840,425,-,397,18,4,5,-,1939,1930,1921,1263,-,630,28,9,9,-,2.2838633687,2.2867298578,2.2869047619,2.9717647059,-,1.5869017632,1.5555555556,2.2500000000,1.8000000000,-
496,"25201","307003","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇRíöñ⁄",506,490,488,281,-,205,2,2,16,-,1216,1198,1193,821,-,370,2,5,18,-,2.4031620553,2.4448979592,2.4446721311,2.9217081851,-,1.8048780488,1.0000000000,2.5000000000,1.1250000000,-
497,"25201","307004","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇSíöñ⁄",569,565,564,335,-,209,20,1,4,-,1423,1416,1413,985,-,376,52,3,7,-,2.5008787346,2.5061946903,2.5053191489,2.9402985075,-,1.7990430622,2.6000000000,3.0000000000,1.7500000000,-
498,"25201","307005","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇTíöñ⁄",665,663,659,476,-,174,9,4,2,-,1906,1904,1896,1509,-,369,18,8,2,-,2.8661654135,2.8717948718,2.8770864947,3.1701680672,-,2.1206896552,2.0000000000,2.0000000000,1.0000000000,-
499,"25201","307006","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇUíöñ⁄",512,511,509,285,-,211,13,2,1,-,1426,1424,1421,964,-,435,22,3,2,-,2.7851562500,2.7866927593,2.7917485265,3.3824561404,-,2.0616113744,1.6923076923,1.5000000000,2.0000000000,-
500,"25201","307007","3","","","","é†âÍåß","ëÂí√és","ëÂäû","ÇVíöñ⁄",674,645,643,309,-,304,30,2,29,-,1767,1738,1735,1103,-,579,53,3,29,-,2.6216617211,2.6945736434,2.6982892691,3.5695792880,-,1.9046052632,1.7666666667,1.5000000000,1.0000000000,-
501,"25201","3080","2","","","","é†âÍåß","ëÂí√és","ê£ìcã¥ñ{í¨","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
502,"25201","3100","2","","","","é†âÍåß","ëÂí√és","ê£ìc","",2180,2166,2152,1663,-,476,13,14,14,-,5222,5187,5164,4282,-,854,28,23,35,-,2.3954128440,2.3947368421,2.3996282528,2.5748647023,-,1.7941176471,2.1538461538,1.6428571429,2.5000000000,-
503,"25201","310001","3","","","","é†âÍåß","ëÂí√és","ê£ìc","ÇPíöñ⁄",426,423,421,346,-,74,1,2,3,-,1085,1073,1071,950,-,116,5,2,12,-,2.5469483568,2.5366430260,2.5439429929,2.7456647399,-,1.5675675676,5.0000000000,1.0000000000,4.0000000000,-
504,"25201","310002","3","","","","é†âÍåß","ëÂí√és","ê£ìc","ÇQíöñ⁄",416,411,408,304,-,99,5,3,5,-,884,872,867,746,-,113,8,5,12,-,2.1250000000,2.1216545012,2.1250000000,2.4539473684,-,1.1414141414,1.6000000000,1.6666666667,2.4000000000,-
505,"25201","310003","3","","","","é†âÍåß","ëÂí√és","ê£ìc","ÇRíöñ⁄",589,586,584,478,-,101,5,2,3,-,1532,1525,1522,1289,-,223,10,3,7,-,2.6010186757,2.6023890785,2.6061643836,2.6966527197,-,2.2079207921,2.0000000000,1.5000000000,2.3333333333,-
506,"25201","310004","3","","","","é†âÍåß","ëÂí√és","ê£ìc","ÇSíöñ⁄",100,99,99,96,-,3,-,-,1,-,211,210,210,204,-,6,-,-,1,-,2.1100000000,2.1212121212,2.1212121212,2.1250000000,-,2.0000000000,-,-,1.0000000000,-
507,"25201","310005","3","","","","é†âÍåß","ëÂí√és","ê£ìc","ÇTíöñ⁄",607,605,598,402,-,194,2,7,2,-,1406,1403,1390,994,-,391,5,13,3,-,2.3163097199,2.3190082645,2.3244147157,2.4726368159,-,2.0154639175,2.5000000000,1.8571428571,1.5000000000,-
508,"25201","310006","3","","","","é†âÍåß","ëÂí√és","ê£ìc","ÇUíöñ⁄",42,42,42,37,-,5,-,-,-,-,104,104,104,99,-,5,-,-,-,-,2.4761904762,2.4761904762,2.4761904762,2.6756756757,-,1.0000000000,-,-,-,-
509,"25201","3130","2","","","","é†âÍåß","ëÂí√és","ê_óÃ","",1434,1427,1420,1208,-,205,7,7,7,-,3628,3610,3596,3264,-,315,17,14,18,-,2.5299860530,2.5297827610,2.5323943662,2.7019867550,-,1.5365853659,2.4285714286,2.0000000000,2.5714285714,-
510,"25201","313001","3","","","","é†âÍåß","ëÂí√és","ê_óÃ","ÇPíöñ⁄",244,241,241,214,-,27,-,-,3,-,531,525,525,489,-,36,-,-,6,-,2.1762295082,2.1784232365,2.1784232365,2.2850467290,-,1.3333333333,-,-,2.0000000000,-
511,"25201","313002","3","","","","é†âÍåß","ëÂí√és","ê_óÃ","ÇQíöñ⁄",844,841,836,714,-,116,6,5,3,-,2252,2241,2231,2020,-,202,9,10,11,-,2.6682464455,2.6646848989,2.6686602871,2.8291316527,-,1.7413793103,1.5000000000,2.0000000000,3.6666666667,-
512,"25201","313003","3","","","","é†âÍåß","ëÂí√és","ê_óÃ","ÇRíöñ⁄",332,331,329,266,-,62,1,2,1,-,802,801,797,712,-,77,8,4,1,-,2.4156626506,2.4199395770,2.4224924012,2.6766917293,-,1.2419354839,8.0000000000,2.0000000000,1.0000000000,-
513,"25201","313004","3","","","","é†âÍåß","ëÂí√és","ê_óÃ","ÇSíöñ⁄",14,14,14,14,-,-,-,-,-,-,43,43,43,43,-,-,-,-,-,-,3.0714285714,3.0714285714,3.0714285714,3.0714285714,-,-,-,-,-,-
514,"25201","313005","3","","","","é†âÍåß","ëÂí√és","ê_óÃ","ÇTíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
515,"25201","3160","2","","","","é†âÍåß","ëÂí√és","ñÏãΩå¥","",1030,1024,1022,829,57,136,-,2,6,-,2734,2727,2723,2320,115,288,-,4,7,-,2.6543689320,2.6630859375,2.6643835616,2.7985524729,2.0175438596,2.1176470588,-,2.0000000000,1.1666666667,-
516,"25201","316001","3","","","","é†âÍåß","ëÂí√és","ñÏãΩå¥","ÇPíöñ⁄",548,542,542,402,24,116,-,-,6,-,1464,1457,1457,1163,46,248,-,-,7,-,2.6715328467,2.6881918819,2.6881918819,2.8930348259,1.9166666667,2.1379310345,-,-,1.1666666667,-
517,"25201","316002","3","","","","é†âÍåß","ëÂí√és","ñÏãΩå¥","ÇQíöñ⁄",482,482,480,427,33,20,-,2,-,-,1270,1270,1266,1157,69,40,-,4,-,-,2.6348547718,2.6348547718,2.6375000000,2.7096018735,2.0909090909,2.0000000000,-,2.0000000000,-,-
518,"25201","3180","2","","","","é†âÍåß","ëÂí√és","éOëÂéõ","",507,505,504,15,465,4,20,1,2,-,1067,1061,1060,38,965,15,42,1,6,-,2.1045364892,2.1009900990,2.1031746032,2.5333333333,2.0752688172,3.7500000000,2.1000000000,1.0000000000,3.0000000000,-
519,"25201","3190","2","","","","é†âÍåß","ëÂí√és","ã ñÏâY","",202,197,196,177,-,15,4,1,5,-,572,567,565,526,-,31,8,2,5,-,2.8316831683,2.8781725888,2.8826530612,2.9717514124,-,2.0666666667,2.0000000000,2.0000000000,1.0000000000,-
520,"25201","3200","2","","","","é†âÍåß","ëÂí√és","ê£ìcëÂç]í¨","",36,34,34,-,-,26,8,-,2,-,59,57,57,-,-,37,20,-,2,-,1.6388888889,1.6764705882,1.6764705882,-,-,1.4230769231,2.5000000000,-,1.0000000000,-
521,"25201","3220","2","","","","é†âÍåß","ëÂí√és","àÍó¢éR","",4793,4726,4704,2699,30,1919,56,22,67,-,10754,10660,10624,7548,56,2904,116,36,94,-,2.2436887127,2.2556072789,2.2585034014,2.7965913301,1.8666666667,1.5132881709,2.0714285714,1.6363636364,1.4029850746,-
522,"25201","322001","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇPíöñ⁄",1065,1062,1054,486,-,554,14,8,3,-,2112,2105,2092,1287,-,780,25,13,7,-,1.9830985915,1.9821092279,1.9848197343,2.6481481481,-,1.4079422383,1.7857142857,1.6250000000,2.3333333333,-
523,"25201","322002","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇQíöñ⁄",576,575,574,332,-,236,6,1,1,-,1258,1257,1255,830,-,408,17,2,1,-,2.1840277778,2.1860869565,2.1864111498,2.5000000000,-,1.7288135593,2.8333333333,2.0000000000,1.0000000000,-
524,"25201","322003","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇRíöñ⁄",836,789,783,473,-,305,5,6,47,-,1842,1791,1782,1308,-,467,7,9,51,-,2.2033492823,2.2699619772,2.2758620690,2.7653276956,-,1.5311475410,1.4000000000,1.5000000000,1.0851063830,-
525,"25201","322004","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇSíöñ⁄",1041,1035,1033,559,30,427,17,2,6,-,2417,2404,2402,1638,56,672,36,2,13,-,2.3218059558,2.3227053140,2.3252662149,2.9302325581,1.8666666667,1.5737704918,2.1176470588,1.0000000000,2.1666666667,-
526,"25201","322005","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇTíöñ⁄",924,915,912,559,-,341,12,3,9,-,2038,2020,2014,1495,-,491,28,6,18,-,2.2056277056,2.2076502732,2.2083333333,2.6744186047,-,1.4398826979,2.3333333333,2.0000000000,2.0000000000,-
527,"25201","322006","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇUíöñ⁄",205,204,202,145,-,55,2,2,1,-,565,561,557,473,-,81,3,4,4,-,2.7560975610,2.7500000000,2.7574257426,3.2620689655,-,1.4727272727,1.5000000000,2.0000000000,4.0000000000,-
528,"25201","322007","3","","","","é†âÍåß","ëÂí√és","àÍó¢éR","ÇVíöñ⁄",146,146,146,145,-,1,-,-,-,-,522,522,522,517,-,5,-,-,-,-,3.5753424658,3.5753424658,3.5753424658,3.5655172414,-,5.0000000000,-,-,-,-
529,"25201","3270","2","","","","é†âÍåß","ëÂí√és","åéó÷","",1953,1948,1935,1246,-,651,38,13,5,-,4985,4978,4954,3874,-,1010,70,24,7,-,2.5524833589,2.5554414784,2.5602067183,3.1091492777,-,1.5514592934,1.8421052632,1.8461538462,1.4000000000,-
530,"25201","327001","3","","","","é†âÍåß","ëÂí√és","åéó÷","ÇPíöñ⁄",73,71,71,7,-,63,1,-,2,-,101,99,99,14,-,82,3,-,2,-,1.3835616438,1.3943661972,1.3943661972,2.0000000000,-,1.3015873016,3.0000000000,-,1.0000000000,-
531,"25201","327002","3","","","","é†âÍåß","ëÂí√és","åéó÷","ÇQíöñ⁄",403,402,400,234,-,163,3,2,1,-,988,986,981,752,-,220,9,5,2,-,2.4516129032,2.4527363184,2.4525000000,3.2136752137,-,1.3496932515,3.0000000000,2.5000000000,2.0000000000,-
532,"25201","327003","3","","","","é†âÍåß","ëÂí√és","åéó÷","ÇRíöñ⁄",985,983,978,535,-,411,32,5,2,-,2541,2538,2530,1815,-,666,49,8,3,-,2.5796954315,2.5818921668,2.5869120654,3.3925233645,-,1.6204379562,1.5312500000,1.6000000000,1.5000000000,-
533,"25201","327004","3","","","","é†âÍåß","ëÂí√és","åéó÷","ÇSíöñ⁄",223,223,221,214,-,7,-,2,-,-,632,632,628,607,-,21,-,4,-,-,2.8340807175,2.8340807175,2.8416289593,2.8364485981,-,3.0000000000,-,2.0000000000,-,-
534,"25201","327005","3","","","","é†âÍåß","ëÂí√és","åéó÷","ÇTíöñ⁄",269,269,265,256,-,7,2,4,-,-,723,723,716,686,-,21,9,7,-,-,2.6877323420,2.6877323420,2.7018867925,2.6796875000,-,3.0000000000,4.5000000000,1.7500000000,-,-
