1,ïΩê¨27îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ëÊ6ï\Å@ê¢ë—ÇÃâ∆ë∞óﬁå^Åi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıãyÇ—ÇPê¢ë—ìñÇΩÇËêlàıÅi6çŒñ¢ñûÅE18çŒñ¢ñûÅE65çŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êîÅC65çŒà»è„ê¢ë—àıÇÃÇ›ÇÃàÍî ê¢ë—êîãyÇ—3ê¢ë„ê¢ë—Å\ì¡åfÅjÅ|í¨íöÅEéöìô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,àÍî ê¢ë—êî,,,,,,,,,,àÍî ê¢ë—êlàı,,,,,,,,,,ÇPê¢ë—ìñÇΩÇËêlàı,,,,,,,,,,ÅiçƒåfÅjÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj18çŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj65çŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,,,,,,,,,,ÅiçƒåfÅj65çŒà»è„ê¢ë—àıÇÃÇ›ÇÃàÍî ê¢ë—êî,,,,,,,,,
5,ésãÊí¨ë∫ÉRÅ[Éh,í¨íöéöÉRÅ[Éh,ínàÊéØï î‘çÜ,îÈìΩèàóù,îÈìΩêÊèÓïÒ,çáéZínàÊ,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ëÂéöÅEí¨ñº,éöÅEíöñ⁄ñº,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—,ëçêîÅiê¢ë—ÇÃâ∆ë∞óﬁå^Åj,êeë∞ÇÃÇ›ÇÃê¢ë—,äjâ∆ë∞ê¢ë—,Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—,Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—,äjâ∆ë∞à»äOÇÃê¢ë—,îÒêeë∞Çä‹Çﬁê¢ë—,íPì∆ê¢ë—,ê¢ë—ÇÃâ∆ë∞óﬁå^Åuïsè⁄Åv,ÅiçƒåfÅj3ê¢ë„ê¢ë—
624,"25202","0110","2","","","","é†âÍåß","ïFç™és","ã—í¨","",109,65,51,23,23,14,1,43,-,12,260,209,143,46,84,66,8,43,-,66,2.3853211009,3.2153846154,2.8039215686,2.0000000000,3.6521739130,4.7142857143,8.0000000000,1.0000000000,-,5.5000000000,8,8,5,-,5,3,-,-,-,3,18,18,13,-,11,5,-,-,-,5,60,41,28,19,7,13,1,18,-,12,36,18,18,18,-,-,-,18,-,-
625,"25202","011001","3","","","","é†âÍåß","ïFç™és","ã—í¨","",43,20,15,6,9,5,-,23,-,5,97,74,47,12,35,27,-,23,-,27,2.2558139535,3.7000000000,3.1333333333,2.0000000000,3.8888888889,5.4000000000,-,1.0000000000,-,5.4000000000,4,4,2,-,2,2,-,-,-,2,7,7,5,-,5,2,-,-,-,2,17,11,6,5,1,5,-,6,-,5,11,5,5,5,-,-,-,6,-,-
626,"25202","011002","3","","","","é†âÍåß","ïFç™és","ã—í¨","",23,18,14,6,4,4,-,5,-,3,61,56,38,12,15,18,-,5,-,15,2.6521739130,3.1111111111,2.7142857143,2.0000000000,3.7500000000,4.5000000000,-,1.0000000000,-,5.0000000000,3,3,2,-,2,1,-,-,-,1,8,8,6,-,4,2,-,-,-,2,16,11,7,5,-,4,-,5,-,3,10,5,5,5,-,-,-,5,-,-
627,"25202","011003","3","","","","é†âÍåß","ïFç™és","ã—í¨","",43,27,22,11,10,5,1,15,-,4,102,79,58,22,34,21,8,15,-,24,2.3720930233,2.9259259259,2.6363636364,2.0000000000,3.4000000000,4.2000000000,8.0000000000,1.0000000000,-,6.0000000000,1,1,1,-,1,-,-,-,-,-,3,3,2,-,2,1,-,-,-,1,27,19,15,9,6,4,1,7,-,4,15,8,8,8,-,-,-,7,-,-
628,"25202","0120","2","","","","é†âÍåß","ïFç™és","âÕå¥","",232,152,122,51,45,30,-,80,-,14,514,434,317,102,160,117,-,80,-,70,2.2155172414,2.8552631579,2.5983606557,2.0000000000,3.5555555556,3.9000000000,-,1.0000000000,-,5.0000000000,9,9,7,-,7,2,-,-,-,2,27,27,20,-,18,7,-,-,-,6,157,112,82,39,21,30,-,45,-,14,83,38,33,30,-,5,-,45,-,-
629,"25202","012001","3","","","","é†âÍåß","ïFç™és","âÕå¥","ÇPíöñ⁄",77,49,39,21,14,10,-,28,-,6,178,150,104,42,54,46,-,28,-,33,2.3116883117,3.0612244898,2.6666666667,2.0000000000,3.8571428571,4.6000000000,-,1.0000000000,-,5.5000000000,5,5,5,-,5,-,-,-,-,-,13,13,11,-,11,2,-,-,-,2,51,37,27,19,4,10,-,14,-,6,30,16,14,14,-,2,-,14,-,-
630,"25202","012002","3","","","","é†âÍåß","ïFç™és","âÕå¥","ÇQíöñ⁄",53,34,28,9,9,6,-,19,-,-,106,87,70,18,30,17,-,19,-,-,2.0000000000,2.5588235294,2.5000000000,2.0000000000,3.3333333333,2.8333333333,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,1,-,-,-,-,-,43,29,23,8,6,6,-,14,-,-,22,8,7,5,-,1,-,14,-,-
631,"25202","012003","3","","","","é†âÍåß","ïFç™és","âÕå¥","ÇRíöñ⁄",102,69,55,21,22,14,-,33,-,8,230,197,143,42,76,54,-,33,-,37,2.2549019608,2.8550724638,2.6000000000,2.0000000000,3.4545454545,3.8571428571,-,1.0000000000,-,4.6250000000,4,4,2,-,2,2,-,-,-,2,12,12,7,-,6,5,-,-,-,4,63,46,32,12,11,14,-,17,-,8,31,14,12,11,-,2,-,17,-,-
632,"25202","0150","2","","","","é†âÍåß","ïFç™és","ã‚ç¿í¨","",30,20,17,7,7,3,-,10,-,2,64,54,43,14,23,11,-,10,-,9,2.1333333333,2.7000000000,2.5294117647,2.0000000000,3.2857142857,3.6666666667,-,1.0000000000,-,4.5000000000,1,1,1,-,1,-,-,-,-,-,3,3,2,-,2,1,-,-,-,1,20,15,13,7,3,2,-,5,-,2,11,6,6,6,-,-,-,5,-,-
633,"25202","015001","3","","","","é†âÍåß","ïFç™és","ã‚ç¿í¨","",20,12,10,6,2,2,-,8,-,2,40,32,23,12,7,9,-,8,-,9,2.0000000000,2.6666666667,2.3000000000,2.0000000000,3.5000000000,4.5000000000,-,1.0000000000,-,4.5000000000,1,1,1,-,1,-,-,-,-,-,2,2,1,-,1,1,-,-,-,1,13,10,8,6,-,2,-,3,-,2,8,5,5,5,-,-,-,3,-,-
634,"25202","015002","3","","","","é†âÍåß","ïFç™és","ã‚ç¿í¨","",10,8,7,1,5,1,-,2,-,-,24,22,20,2,16,2,-,2,-,-,2.4000000000,2.7500000000,2.8571428571,2.0000000000,3.2000000000,2.0000000000,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,7,5,5,1,3,-,-,2,-,-,3,1,1,1,-,-,-,2,-,-
635,"25202","0160","2","","","","é†âÍåß","ïFç™és","ã⁄ã¥","",439,251,205,88,86,46,5,183,-,29,938,744,559,176,316,185,11,183,-,134,2.1366742597,2.9641434263,2.7268292683,2.0000000000,3.6744186047,4.0217391304,2.2000000000,1.0000000000,-,4.6206896552,16,16,11,-,11,5,-,-,-,5,63,61,41,-,34,20,-,2,-,19,279,170,126,75,34,44,3,106,-,28,178,71,67,64,-,4,1,106,-,-
636,"25202","016001","3","","","","é†âÍåß","ïFç™és","ã⁄ã¥","ÇPíöñ⁄",141,89,71,29,28,18,1,51,-,14,318,265,187,58,99,78,2,51,-,67,2.2553191489,2.9775280899,2.6338028169,2.0000000000,3.5357142857,4.3333333333,2.0000000000,1.0000000000,-,4.7857142857,5,5,3,-,3,2,-,-,-,2,20,20,10,-,8,10,-,-,-,10,96,62,45,23,14,17,1,33,-,13,57,23,23,21,-,-,1,33,-,-
637,"25202","016002","3","","","","é†âÍåß","ïFç™és","ã⁄ã¥","ÇQíöñ⁄",298,162,134,59,58,28,4,132,-,15,620,479,372,118,217,107,9,132,-,67,2.0805369128,2.9567901235,2.7761194030,2.0000000000,3.7413793103,3.8214285714,2.2500000000,1.0000000000,-,4.4666666667,11,11,8,-,8,3,-,-,-,3,43,41,31,-,26,10,-,2,-,9,183,108,81,52,20,27,2,73,-,15,121,48,44,43,-,4,-,73,-,-
638,"25202","0170","2","","","","é†âÍåß","ïFç™és","ã¥å¸í¨","",23,18,13,7,3,5,-,5,-,2,52,47,30,14,10,17,-,5,-,8,2.2608695652,2.6111111111,2.3076923077,2.0000000000,3.3333333333,3.4000000000,-,1.0000000000,-,4.0000000000,2,2,1,-,1,1,-,-,-,1,4,4,2,-,2,2,-,-,-,2,14,11,7,5,-,4,-,3,-,1,8,5,5,5,-,-,-,3,-,-
639,"25202","0180","2","","","","é†âÍåß","ïFç™és","êVí¨","",36,25,16,7,7,9,-,10,1,8,98,85,46,14,28,39,-,10,3,36,2.7222222222,3.4000000000,2.8750000000,2.0000000000,4.0000000000,4.3333333333,-,1.0000000000,3.0000000000,4.5000000000,2,2,1,-,1,1,-,-,-,1,8,8,4,-,4,4,-,-,-,4,25,20,11,6,3,9,-,5,-,8,10,5,5,5,-,-,-,5,-,-
640,"25202","0190","2","","","","é†âÍåß","ïFç™és","ã⁄íÜí¨","",27,19,16,7,7,3,-,6,2,2,68,57,41,14,23,16,-,6,5,10,2.5185185185,3.0000000000,2.5625000000,2.0000000000,3.2857142857,5.3333333333,-,1.0000000000,2.5000000000,5.0000000000,1,1,1,-,1,-,-,-,-,-,3,3,2,-,2,1,-,-,-,1,12,6,4,4,-,2,-,6,-,2,9,3,3,3,-,-,-,6,-,-
641,"25202","0200","2","","","","é†âÍåß","ïFç™és","ëÂã¥í¨","",26,20,12,3,5,8,-,6,-,7,77,71,35,6,19,36,-,6,-,33,2.9615384615,3.5500000000,2.9166666667,2.0000000000,3.8000000000,4.5000000000,-,1.0000000000,-,4.7142857143,2,2,1,-,1,1,-,-,-,1,6,6,4,-,3,2,-,-,-,2,17,12,4,2,1,8,-,5,-,7,8,3,3,2,-,-,-,5,-,-
642,"25202","0210","2","","","","é†âÍåß","ïFç™és","å„éOèí¨","",1312,687,581,212,276,106,8,615,2,76,2730,2089,1622,424,986,467,18,615,8,380,2.0807926829,3.0407569141,2.7917383821,2.0000000000,3.5724637681,4.4056603774,2.2500000000,1.0000000000,4.0000000000,5.0000000000,93,92,81,-,77,11,1,-,-,11,231,227,180,-,159,47,1,3,-,46,474,330,237,135,54,93,2,142,-,68,270,127,120,117,-,7,1,142,-,-
643,"25202","021001","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",247,148,122,39,65,26,2,96,1,15,575,470,355,78,234,115,4,96,5,83,2.3279352227,3.1756756757,2.9098360656,2.0000000000,3.6000000000,4.4230769231,2.0000000000,1.0000000000,5.0000000000,5.5333333333,24,24,20,-,18,4,-,-,-,4,63,63,49,-,41,14,-,-,-,13,96,66,45,24,16,21,-,30,-,12,56,26,23,22,-,3,-,30,-,-
644,"25202","021002","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",195,67,51,17,26,16,1,127,-,12,349,220,147,34,95,73,2,127,-,61,1.7897435897,3.2835820896,2.8823529412,2.0000000000,3.6538461538,4.5625000000,2.0000000000,1.0000000000,-,5.0833333333,4,4,3,-,3,1,-,-,-,1,21,20,14,-,11,6,-,1,-,6,56,38,23,13,8,15,1,17,-,12,30,12,12,12,-,-,1,17,-,-
645,"25202","021003","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",235,149,130,55,53,19,-,86,-,17,520,434,339,110,181,95,-,86,-,88,2.2127659574,2.9127516779,2.6076923077,2.0000000000,3.4150943396,5.0000000000,-,1.0000000000,-,5.1764705882,18,18,16,-,15,2,-,-,-,2,41,40,29,-,27,11,-,1,-,11,102,79,61,34,10,18,-,23,-,16,54,31,30,28,-,1,-,23,-,-
646,"25202","021004","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",150,68,63,24,19,5,-,82,-,4,265,183,163,48,69,20,-,82,-,17,1.7666666667,2.6911764706,2.5873015873,2.0000000000,3.6315789474,4.0000000000,-,1.0000000000,-,4.2500000000,4,4,3,-,3,1,-,-,-,1,13,12,11,-,9,1,-,1,-,1,52,37,32,20,4,5,-,15,-,4,33,18,18,18,-,-,-,15,-,-
647,"25202","021005","3","","","","é†âÍåß","ïFç™és","å„éOèí¨","",485,255,215,77,113,40,5,224,1,28,1021,782,618,154,407,164,12,224,3,131,2.1051546392,3.0666666667,2.8744186047,2.0000000000,3.6017699115,4.1000000000,2.4000000000,1.0000000000,3.0000000000,4.6785714286,43,42,39,-,38,3,1,-,-,3,93,92,77,-,71,15,1,-,-,15,168,110,76,44,16,34,1,57,-,24,97,40,37,37,-,3,-,57,-,-
648,"25202","0220","2","","","","é†âÍåß","ïFç™és","ã‡ãTí¨","",25,9,8,4,3,1,-,16,-,1,43,27,22,8,11,5,-,16,-,5,1.7200000000,3.0000000000,2.7500000000,2.0000000000,3.6666666667,5.0000000000,-,1.0000000000,-,5.0000000000,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,12,7,6,3,2,1,-,5,-,1,7,2,2,2,-,-,-,5,-,-
649,"25202","022001","3","","","","é†âÍåß","ïFç™és","ã‡ãTí¨","",11,5,4,2,1,1,-,6,-,1,22,16,11,4,4,5,-,6,-,5,2.0000000000,3.2000000000,2.7500000000,2.0000000000,4.0000000000,5.0000000000,-,1.0000000000,-,5.0000000000,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,8,4,3,2,-,1,-,4,-,1,6,2,2,2,-,-,-,4,-,-
650,"25202","022002","3","","","","é†âÍåß","ïFç™és","ã‡ãTí¨","",14,4,4,2,2,-,-,10,-,-,21,11,11,4,7,-,-,10,-,-,1.5000000000,2.7500000000,2.7500000000,2.0000000000,3.5000000000,-,-,1.0000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,3,1,2,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-
651,"25202","0230","2","çáéZínàÊÇ†ÇË","","023001;023002","é†âÍåß","ïFç™és","îˆññí¨","",155,64,53,20,29,11,1,90,-,7,296,204,153,40,104,51,2,90,-,39,1.9096774194,3.1875000000,2.8867924528,2.0000000000,3.5862068966,4.6363636364,2.0000000000,1.0000000000,-,5.5714285714,8,8,7,-,7,1,-,-,-,1,20,20,16,-,15,4,-,-,-,4,54,33,23,14,7,10,-,21,-,7,34,13,13,12,-,-,-,21,-,-
652,"25202","023001","3","îÈìΩínàÊ","0230","","é†âÍåß","ïFç™és","îˆññí¨","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
653,"25202","023002","3","îÈìΩínàÊ","0230","","é†âÍåß","ïFç™és","îˆññí¨","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
654,"25202","0240","2","","","","é†âÍåß","ïFç™és","ñ{í¨","",349,198,155,73,63,43,4,147,-,27,770,610,426,146,239,184,13,147,-,138,2.2063037249,3.0808080808,2.7483870968,2.0000000000,3.7936507937,4.2790697674,3.2500000000,1.0000000000,-,5.1111111111,14,13,9,-,9,4,1,-,-,5,53,52,36,-,32,16,1,-,-,17,200,132,89,56,21,43,3,65,-,27,124,59,53,52,-,6,-,65,-,-
655,"25202","024001","3","","","","é†âÍåß","ïFç™és","ñ{í¨","ÇPíöñ⁄",191,99,73,35,30,26,2,90,-,17,414,318,200,70,112,118,6,90,-,90,2.1675392670,3.2121212121,2.7397260274,2.0000000000,3.7333333333,4.5384615385,3.0000000000,1.0000000000,-,5.2941176471,7,7,5,-,5,2,-,-,-,2,30,30,21,-,18,9,-,-,-,9,102,65,39,27,8,26,2,35,-,17,64,29,25,24,-,4,-,35,-,-
656,"25202","024002","3","","","","é†âÍåß","ïFç™és","ñ{í¨","ÇQíöñ⁄",88,58,50,24,20,8,-,30,-,2,195,165,140,48,80,25,-,30,-,8,2.2159090909,2.8448275862,2.8000000000,2.0000000000,4.0000000000,3.1250000000,-,1.0000000000,-,4.0000000000,4,4,3,-,3,1,-,-,-,1,13,13,11,-,10,2,-,-,-,2,55,37,29,20,5,8,-,18,-,2,40,22,20,20,-,2,-,18,-,-
657,"25202","024003","3","","","","é†âÍåß","ïFç™és","ñ{í¨","ÇRíöñ⁄",70,41,32,14,13,9,2,27,-,8,161,127,86,28,47,41,7,27,-,40,2.3000000000,3.0975609756,2.6875000000,2.0000000000,3.6153846154,4.5555555556,3.5000000000,1.0000000000,-,5.0000000000,3,2,1,-,1,1,1,-,-,2,10,9,4,-,4,5,1,-,-,6,43,30,21,9,8,9,1,12,-,8,20,8,8,8,-,-,-,12,-,-
658,"25202","0270","2","","","","é†âÍåß","ïFç™és","èÈí¨","",607,318,280,111,125,38,3,286,-,21,1217,925,773,222,450,152,6,286,-,105,2.0049423394,2.9088050314,2.7607142857,2.0000000000,3.6000000000,4.0000000000,2.0000000000,1.0000000000,-,5.0000000000,47,47,43,-,39,4,-,-,-,4,107,107,95,-,83,12,-,-,-,12,210,144,108,68,21,36,-,66,-,20,131,65,61,60,-,4,-,66,-,-
659,"25202","027001","3","","","","é†âÍåß","ïFç™és","èÈí¨","ÇPíöñ⁄",204,134,117,39,57,17,-,70,-,8,462,392,325,78,200,67,-,70,-,42,2.2647058824,2.9253731343,2.7777777778,2.0000000000,3.5087719298,3.9411764706,-,1.0000000000,-,5.2500000000,26,26,24,-,22,2,-,-,-,2,52,52,48,-,41,4,-,-,-,4,79,57,41,25,9,16,-,22,-,8,45,23,22,22,-,1,-,22,-,-
660,"25202","027002","3","","","","é†âÍåß","ïFç™és","èÈí¨","ÇQíöñ⁄",403,184,163,72,68,21,3,216,-,13,755,533,448,144,250,85,6,216,-,63,1.8734491315,2.8967391304,2.7484662577,2.0000000000,3.6764705882,4.0476190476,2.0000000000,1.0000000000,-,4.8461538462,21,21,19,-,17,2,-,-,-,2,55,55,47,-,42,8,-,-,-,8,131,87,67,43,12,20,-,44,-,12,86,42,39,38,-,3,-,44,-,-
661,"25202","0300","2","","","","é†âÍåß","ïFç™és","írèBí¨","",137,62,45,15,21,17,-,75,-,14,276,201,120,30,71,81,-,75,-,71,2.0145985401,3.2419354839,2.6666666667,2.0000000000,3.3809523810,4.7647058824,-,1.0000000000,-,5.0714285714,10,10,8,-,8,2,-,-,-,2,22,22,13,-,10,9,-,-,-,9,67,42,27,15,7,15,-,25,-,13,43,18,17,14,-,1,-,25,-,-
662,"25202","030001","3","","","","é†âÍåß","ïFç™és","írèBí¨","",44,24,19,6,10,5,-,20,-,4,98,78,52,12,33,26,-,20,-,23,2.2272727273,3.2500000000,2.7368421053,2.0000000000,3.3000000000,5.2000000000,-,1.0000000000,-,5.7500000000,6,6,5,-,5,1,-,-,-,1,10,10,7,-,5,3,-,-,-,3,23,15,10,6,3,5,-,8,-,4,16,8,7,6,-,1,-,8,-,-
663,"25202","030002","3","","","","é†âÍåß","ïFç™és","írèBí¨","",93,38,26,9,11,12,-,55,-,10,178,123,68,18,38,55,-,55,-,48,1.9139784946,3.2368421053,2.6153846154,2.0000000000,3.4545454545,4.5833333333,-,1.0000000000,-,4.8000000000,4,4,3,-,3,1,-,-,-,1,12,12,6,-,5,6,-,-,-,6,44,27,17,9,4,10,-,17,-,9,27,10,10,8,-,-,-,17,-,-
664,"25202","0310","2","","","","é†âÍåß","ïFç™és","âhí¨","",441,237,200,86,75,37,2,201,1,27,895,686,530,172,272,156,4,201,4,129,2.0294784580,2.8945147679,2.6500000000,2.0000000000,3.6266666667,4.2162162162,2.0000000000,1.0000000000,4.0000000000,4.7777777778,18,18,14,-,13,4,-,-,-,4,46,46,30,-,28,16,-,-,-,15,202,149,115,61,29,34,-,53,-,25,107,54,54,54,-,-,-,53,-,-
665,"25202","031001","3","","","","é†âÍåß","ïFç™és","âhí¨","ÇPíöñ⁄",173,100,87,29,35,13,2,71,-,10,370,295,240,58,129,55,4,71,-,47,2.1387283237,2.9500000000,2.7586206897,2.0000000000,3.6857142857,4.2307692308,2.0000000000,1.0000000000,-,4.7000000000,6,6,5,-,4,1,-,-,-,1,20,20,14,-,12,6,-,-,-,6,83,58,45,20,13,13,-,25,-,10,44,19,19,19,-,-,-,25,-,-
666,"25202","031002","3","","","","é†âÍåß","ïFç™és","âhí¨","ÇQíöñ⁄",268,137,113,57,40,24,-,130,1,17,525,391,290,114,143,101,-,130,4,82,1.9589552239,2.8540145985,2.5663716814,2.0000000000,3.5750000000,4.2083333333,-,1.0000000000,4.0000000000,4.8235294118,12,12,9,-,9,3,-,-,-,3,26,26,16,-,16,10,-,-,-,9,119,91,70,41,16,21,-,28,-,15,63,35,35,35,-,-,-,28,-,-
667,"25202","0330","2","","","","é†âÍåß","ïFç™és","íÜÂM","",299,208,173,65,88,35,-,91,-,22,754,663,515,130,335,148,-,91,-,110,2.5217391304,3.1875000000,2.9768786127,2.0000000000,3.8068181818,4.2285714286,-,1.0000000000,-,5.0000000000,26,26,20,-,20,6,-,-,-,6,71,71,57,-,52,14,-,-,-,14,143,99,70,41,19,29,-,44,-,19,83,39,36,35,-,3,-,44,-,-
668,"25202","033001","3","","","","é†âÍåß","ïFç™és","íÜÂM","ÇPíöñ⁄",170,107,86,34,42,21,-,63,-,14,395,332,245,68,153,87,-,63,-,67,2.3235294118,3.1028037383,2.8488372093,2.0000000000,3.6428571429,4.1428571429,-,1.0000000000,-,4.7857142857,7,7,4,-,4,3,-,-,-,3,24,24,17,-,16,7,-,-,-,7,95,66,48,26,17,18,-,29,-,12,53,24,22,22,-,2,-,29,-,-
669,"25202","033002","3","","","","é†âÍåß","ïFç™és","íÜÂM","ÇQíöñ⁄",129,101,87,31,46,14,-,28,-,8,359,331,270,62,182,61,-,28,-,43,2.7829457364,3.2772277228,3.1034482759,2.0000000000,3.9565217391,4.3571428571,-,1.0000000000,-,5.3750000000,19,19,16,-,16,3,-,-,-,3,47,47,40,-,36,7,-,-,-,7,48,33,22,15,2,11,-,15,-,7,30,15,14,13,-,1,-,15,-,-
670,"25202","0350","2","","","","é†âÍåß","ïFç™és","í∑ë]ç™í¨","",401,300,286,44,226,14,-,101,-,9,1178,1077,1020,88,892,57,-,101,-,41,2.9376558603,3.5900000000,3.5664335664,2.0000000000,3.9469026549,4.0714285714,-,1.0000000000,-,4.5555555556,99,99,96,-,95,3,-,-,-,3,219,219,213,-,205,6,-,-,-,6,59,45,31,17,10,14,-,14,-,9,29,15,14,14,-,1,-,14,-,-
671,"25202","0360","2","","","","é†âÍåß","ïFç™és","í∑ë]ç™ìÏí¨","",757,344,320,119,159,24,3,410,-,19,1444,1028,922,238,585,106,6,410,-,92,1.9075297226,2.9883720930,2.8812500000,2.0000000000,3.6792452830,4.4166666667,2.0000000000,1.0000000000,-,4.8421052632,42,42,35,-,33,7,-,-,-,6,124,121,109,-,95,12,-,3,-,11,197,145,126,74,35,19,1,51,-,15,110,59,58,57,-,1,-,51,-,-
